"","INDEX","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","TARGET_FLAG","TARGET_AMT"
"1",3,NA,0,48,0,11,"$52,881","No","$0","z_No","M","Bachelors","Manager",26,"Private","$21,970",1,"Van","yes","$0",0,"No",2,10,"Highly Urban/ Urban","NO",0
"2",9,NA,1,40,1,11,"$50,815","Yes","$0","z_No","M","z_High School","Manager",21,"Private","$18,930",6,"Minivan","no","$3,295",1,"No",2,1,"Highly Urban/ Urban","NO",0
"3",10,NA,0,44,2,12,"$43,486","Yes","$0","z_No","z_F","z_High School","z_Blue Collar",30,"Commercial","$5,900",10,"z_SUV","no","$0",0,"No",0,10,"z_Highly Rural/ Rural","NO",0
"4",18,NA,0,35,2,NA,"$21,204","Yes","$0","z_No","M","z_High School","Clerical",74,"Private","$9,230",6,"Pickup","no","$0",0,"Yes",0,4,"z_Highly Rural/ Rural","NO",0
"5",21,NA,0,59,0,12,"$87,460","No","$0","z_No","M","z_High School","Manager",45,"Private","$15,420",1,"Minivan","yes","$44,857",2,"No",4,1,"Highly Urban/ Urban","NO",0
"6",30,NA,0,46,0,14,"","No","$207,519","Yes","M","Bachelors","Professional",7,"Commercial","$25,660",1,"Panel Truck","no","$2,119",1,"No",2,12,"Highly Urban/ Urban","NO",0
"7",31,NA,0,60,0,12,"$37,940","No","$182,739","Yes","z_F","z_High School","z_Blue Collar",16,"Commercial","$11,290",1,"Sports Car","no","$0",0,"No",0,1,"Highly Urban/ Urban","NO",0
"8",37,NA,0,54,0,12,"$33,212","No","$158,432","Yes","M","<High School","z_Blue Collar",27,"Commercial","$24,000",4,"Panel Truck","no","$0",0,"No",5,NA,"Highly Urban/ Urban","NO",0
"9",39,NA,2,36,2,12,"$130,540","Yes","$344,195","z_No","z_F","Bachelors","z_Blue Collar",5,"Commercial","$27,200",4,"Minivan","no","$0",0,"No",0,9,"z_Highly Rural/ Rural","NO",0
"10",47,NA,0,50,0,8,"$167,469","No","$0","z_No","z_F","PhD","Doctor",22,"Private","$34,150",4,"Sports Car","no","$0",0,"No",3,1,"Highly Urban/ Urban","NO",0
"11",60,NA,0,42,0,NA,"$52,988","No","$176,275","Yes","M","z_High School","z_Blue Collar",24,"Commercial","$23,450",1,"Minivan","no","$0",0,"No",2,11,"z_Highly Rural/ Rural","NO",0
"12",62,NA,0,41,2,7,"$17,755","Yes","$148,815","z_No","z_F","<High School","Clerical",29,"Private","$14,480",1,"Minivan","yes","$0",0,"Yes",2,1,"Highly Urban/ Urban","NO",0
"13",63,NA,1,37,2,13,"","Yes","$0","z_No","z_F","z_High School","z_Blue Collar",62,"Commercial","$9,360",4,"Sports Car","no","$0",0,"No",0,NA,"Highly Urban/ Urban","YES",3945.77861306931
"14",64,NA,0,36,3,12,"$56,048","No","$137,836","Yes","M","Masters","Lawyer",15,"Private","$10,700",6,"Minivan","no","$2,045",2,"No",2,16,"Highly Urban/ Urban","NO",0
"15",68,NA,0,34,3,12,"$22,510","No","$123,888","Yes","M","z_High School","Clerical",26,"Private","$14,690",4,"Minivan","yes","$0",0,"Yes",0,1,"z_Highly Rural/ Rural","NO",0
"16",75,NA,0,35,2,12,"","Yes","$0","z_No","z_F","<High School","z_Blue Collar",43,"Private","$9,730",5,"z_SUV","no","$0",0,"No",4,4,"Highly Urban/ Urban","YES",2682.20966305668
"17",76,NA,2,44,2,14,"$45,576","No","$156,623","Yes","z_F","<High School","z_Blue Collar",27,"Private","$1,500",4,"Sports Car","no","$25,276",1,"No",8,NA,"Highly Urban/ Urban","NO",0
"18",83,NA,0,48,0,9,"$61,509","No","$195,438","Yes","M","Masters","",40,"Commercial","$23,230",6,"Panel Truck","yes","$0",0,"No",1,17,"Highly Urban/ Urban","NO",0
"19",87,NA,0,62,0,15,"$40,656","No","$208,242","Yes","z_F","z_High School","Clerical",57,"Private","$9,170",4,"Sports Car","no","$42,342",2,"Yes",2,7,"Highly Urban/ Urban","YES",3175.0403531119
"20",92,NA,0,39,0,11,"$33,727","No","$0","z_No","z_F","Bachelors","Clerical",27,"Private","$10,850",1,"z_SUV","no","$8,350",1,"No",2,12,"Highly Urban/ Urban","NO",0
"21",98,NA,0,38,0,0,"$0","No","$0","Yes","M","z_High School","Student",41,"Commercial","$17,470",10,"Van","no","$3,157",2,"No",5,6,"z_Highly Rural/ Rural","NO",0
"22",106,NA,0,39,2,0,"$0","No","$69,369","Yes","z_F","z_High School","Home Maker",36,"Private","$8,750",4,"Sports Car","no","$0",0,"No",0,8,"Highly Urban/ Urban","NO",0
"23",107,NA,2,44,2,13,"$142,588","No","$365,256","Yes","M","Masters","Manager",28,"Private","$21,790",6,"Minivan","yes","$0",0,"No",2,9,"Highly Urban/ Urban","NO",0
"24",113,NA,0,45,0,12,"$32,394","No","$0","z_No","z_F","z_High School","Clerical",33,"Private","$13,770",4,"z_SUV","no","$0",0,"No",0,1,"Highly Urban/ Urban","NO",0
"25",120,NA,0,43,1,0,"$0","No","$70,170","Yes","z_F","Bachelors","Home Maker",26,"Private","$8,350",1,"z_SUV","no","$0",0,"No",3,7,"Highly Urban/ Urban","NO",0
"26",123,NA,0,64,0,15,"$31,738","No","$197,010","Yes","M","<High School","z_Blue Collar",23,"Commercial","$14,620",6,"z_SUV","no","$3,994",2,"No",0,1,"Highly Urban/ Urban","NO",0
"27",125,NA,0,60,0,9,"$125,893","No","$0","z_No","M","PhD","",21,"Commercial","$7,500",9,"Pickup","yes","$7,278",2,"No",4,15,"Highly Urban/ Urban","YES",2499.9568863001
"28",126,NA,2,35,4,6,"$154,577","Yes","$397,868","z_No","z_F","Bachelors","z_Blue Collar",27,"Private","$20,450",6,"z_SUV","no","$4,645",1,"No",3,1,"Highly Urban/ Urban","NO",0
"29",128,NA,0,52,0,11,"$79,348","No","$270,032","Yes","z_F","z_High School","Manager",23,"Private","$13,150",11,"z_SUV","no","$0",0,"No",2,1,"Highly Urban/ Urban","NO",0
"30",129,NA,0,56,2,14,"$192,089","No","$471,701","Yes","M","PhD","",31,"Commercial","$21,100",1,"Van","yes","$0",0,"No",0,NA,"Highly Urban/ Urban","NO",0
"31",131,NA,0,55,0,15,"$108,152","No","$329,756","Yes","z_F","Masters","Manager",18,"Private","$12,320",1,"z_SUV","no","$0",0,"Yes",0,15,"Highly Urban/ Urban","NO",0
"32",135,NA,0,26,0,8,"$53,244","No","$0","z_No","M","Bachelors","Professional",28,"Commercial","$20,920",3,"Van","yes","$6,224",1,"No",1,8,"Highly Urban/ Urban","YES",4041.15120597958
"33",141,NA,0,52,0,8,"$88,560","No","$244,028","Yes","M","Masters","Lawyer",14,"Private","$13,630",1,"Minivan","no","$0",0,"No",4,17,"Highly Urban/ Urban","NO",0
"34",147,NA,0,41,0,12,"$110,386","No","$335,488","Yes","M","Masters","",21,"Commercial","$16,640",1,"Van","yes","$0",0,"No",2,14,"Highly Urban/ Urban","NO",0
"35",148,NA,0,49,0,12,"$53,765","No","$0","z_No","z_F","Bachelors","Professional",5,"Private","$12,360",4,"z_SUV","no","$0",0,"No",0,1,"Highly Urban/ Urban","NO",0
"36",151,NA,0,30,2,NA,"$26,226","No","$165,178","Yes","z_F","z_High School","Clerical",68,"Private","$23,610",4,"z_SUV","no","$0",0,"No",1,1,"z_Highly Rural/ Rural","NO",0
"37",156,NA,1,34,3,12,"$29,431","No","$143,149","Yes","z_F","<High School","Clerical",12,"Private","$22,560",1,"Minivan","no","$0",0,"No",1,NA,"Highly Urban/ Urban","NO",0
"38",157,NA,0,44,0,14,"$44,790","No","$205,463","Yes","z_F","Masters","",5,"Commercial","$19,800",4,"Pickup","no","$37,163",1,"No",4,9,"Highly Urban/ Urban","NO",0
"39",174,NA,0,49,0,NA,"$38,326","No","$133,010","Yes","M","Masters","Lawyer",5,"Private","$10,230",4,"Pickup","yes","$0",0,"No",0,17,"Highly Urban/ Urban","NO",0
"40",186,NA,1,40,2,12,"$35,260","No","$141,167","Yes","z_F","<High School","z_Blue Collar",30,"Private","$9,740",7,"z_SUV","no","$2,235",1,"No",8,1,"Highly Urban/ Urban","YES",5060.66531644912
"41",193,NA,0,26,3,9,"$33,283","No","$104,323","Yes","M","Bachelors","z_Blue Collar",37,"Commercial","$7,690",10,"Pickup","no","$0",0,"No",2,16,"Highly Urban/ Urban","YES",2472.8933640063
"42",195,NA,0,46,0,7,"$26,697","No","$134,863","Yes","z_F","<High School","Clerical",43,"Private","$15,080",6,"z_SUV","no","$0",0,"Yes",4,1,"Highly Urban/ Urban","NO",0
"43",212,NA,0,50,0,7,"$73,308","No","$240,645","z_No","M","Masters","Lawyer",38,"Private","$18,720",7,"Van","no","$0",0,"No",2,19,"z_Highly Rural/ Rural","NO",0
"44",213,NA,0,62,0,12,"$22,181","No","$185,459","z_No","z_F","z_High School","Clerical",24,"Private","$17,880",7,"Sports Car","no","$9,873",3,"No",5,1,"Highly Urban/ Urban","YES",3342.27402628073
