,INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,3,NO,0.000,0,48,0,11,"$52,881",No,$0,z_No,M,Bachelors,Manager,26,Private,"$21,970",1,Van,yes,$0,0,No,2,10,Highly Urban/ Urban
2,9,NO,0.000,1,40,1,11,"$50,815",Yes,$0,z_No,M,z_High School,Manager,21,Private,"$18,930",6,Minivan,no,"$3,295",1,No,2,1,Highly Urban/ Urban
3,10,NO,0.000,0,44,2,12,"$43,486",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,30,Commercial,"$5,900",10,z_SUV,no,$0,0,No,0,10,z_Highly Rural/ Rural
4,18,NO,0.000,0,35,2,NA,"$21,204",Yes,$0,z_No,M,z_High School,Clerical,74,Private,"$9,230",6,Pickup,no,$0,0,Yes,0,4,z_Highly Rural/ Rural
5,21,NO,0.000,0,59,0,12,"$87,460",No,$0,z_No,M,z_High School,Manager,45,Private,"$15,420",1,Minivan,yes,"$44,857",2,No,4,1,Highly Urban/ Urban
6,30,NO,0.000,0,46,0,14,,No,"$207,519",Yes,M,Bachelors,Professional,7,Commercial,"$25,660",1,Panel Truck,no,"$2,119",1,No,2,12,Highly Urban/ Urban
7,31,NO,0.000,0,60,0,12,"$37,940",No,"$182,739",Yes,z_F,z_High School,z_Blue Collar,16,Commercial,"$11,290",1,Sports Car,no,$0,0,No,0,1,Highly Urban/ Urban
8,37,NO,0.000,0,54,0,12,"$33,212",No,"$158,432",Yes,M,<High School,z_Blue Collar,27,Commercial,"$24,000",4,Panel Truck,no,$0,0,No,5,NA,Highly Urban/ Urban
9,39,NO,0.000,2,36,2,12,"$130,540",Yes,"$344,195",z_No,z_F,Bachelors,z_Blue Collar,5,Commercial,"$27,200",4,Minivan,no,$0,0,No,0,9,z_Highly Rural/ Rural
10,47,NO,0.000,0,50,0,8,"$167,469",No,$0,z_No,z_F,PhD,Doctor,22,Private,"$34,150",4,Sports Car,no,$0,0,No,3,1,Highly Urban/ Urban
11,60,NO,0.000,0,42,0,NA,"$52,988",No,"$176,275",Yes,M,z_High School,z_Blue Collar,24,Commercial,"$23,450",1,Minivan,no,$0,0,No,2,11,z_Highly Rural/ Rural
12,62,NO,0.000,0,41,2,7,"$17,755",Yes,"$148,815",z_No,z_F,<High School,Clerical,29,Private,"$14,480",1,Minivan,yes,$0,0,Yes,2,1,Highly Urban/ Urban
13,63,YES,"3,945.779",1,37,2,13,,Yes,$0,z_No,z_F,z_High School,z_Blue Collar,62,Commercial,"$9,360",4,Sports Car,no,$0,0,No,0,NA,Highly Urban/ Urban
